Date,Close,Open,High,Low,Volume
"Feb 04, 2019",18848.81,18811.37,18864.71,18795.82,266950000
"Feb 01, 2019",18811.37,18711.75,18817.65,18662.74,240170000
"Jan 31, 2019",18711.75,18827.97,18947.44,18685.09,325810000
"Jan 30, 2019",18827.97,18702.61,18828.5,18675.12,257520000
"Jan 29, 2019",18702.61,18534.68,18746.45,18510.1,269180000
"Jan 28, 2019",18534.68,18643.58,18679.28,18534.68,214400000
"Jan 25, 2019",18643.58,18627.63,18690.31,18620.06,236280000
"Jan 24, 2019",18627.63,18582.86,18653.87,18563.07,273510000
"Jan 23, 2019",18582.86,18681.59,18682.22,18557.75,292060000
"Jan 22, 2019",18681.59,18762.83,18807.97,18630.67,277190000
"Jan 21, 2019",18762.83,18764.47,18784.47,18720.01,197280000
"Jan 18, 2019",18764.47,18537.32,18771.35,18537.32,302520000
"Jan 17, 2019",18537.32,18486.73,18537.32,18402.2,231130000
"Jan 16, 2019",18486.73,18429.77,18503.3,18422.74,257080000
"Jan 15, 2019",18429.77,18417.58,18465.63,18356.36,274360000
"Jan 14, 2019",18417.58,18542.31,18542.7,18314.91,237380000
"Jan 11, 2019",18542.31,18435.62,18554.67,18435.62,267720000
"Jan 10, 2019",18435.62,18413.71,18452.76,18354.13,291760000
"Jan 09, 2019",18413.71,18175.79,18433.35,18175.79,299640000
"Jan 08, 2019",18175.79,17976.15,18283.52,17970.05,266840000
"Jan 07, 2019",17976.15,17795.88,17976.15,17795.55,250640000
"Jan 04, 2019",17795.88,17438.91,17795.88,17438.91,244750000
"Jan 03, 2019",17438.91,17586.7,17591.05,17436.82,222420000
"Jan 02, 2019",17586.7,17502.05,17586.7,17249.96,219620000
"Dec 31, 2018",17502.05,17465.05,17563.14,17462.89,71980000
"Dec 28, 2018",17465.05,17090.47,17465.05,17090.47,202380000
"Dec 27, 2018",17090.47,17312.18,17455.4,17054.72,204500000
"Dec 24, 2018",17312.18,17442.98,17442.98,17312.18,69890000
"Dec 21, 2018",17442.98,17446.94,17467.17,17355.36,558680000
"Dec 20, 2018",17446.94,17604.5,17605.65,17245.94,373460000
"Dec 19, 2018",17604.5,17495.04,17652.79,17427.49,357020000
"Dec 18, 2018",17495.04,17416.96,17596.36,17309.2,345120000
"Dec 17, 2018",17416.96,17666.91,17675.36,17416.84,326580000
"Dec 14, 2018",17666.91,17818.56,17818.99,17592.44,284690000
"Dec 13, 2018",17818.56,17988.97,18038.59,17818.56,318070000
"Dec 12, 2018",17988.97,17653.26,17993.64,17637.77,353550000
"Dec 11, 2018",17653.26,17492.31,17795.43,17485.75,321730000
"Dec 10, 2018",17492.31,17844.11,17844.11,17492.31,308600000
"Dec 07, 2018",17844.11,17753.31,18006.75,17753.31,373460000
"Dec 06, 2018",17753.31,18271.1,18271.1,17716.05,366160000
"Dec 05, 2018",18271.1,18329.64,18385.22,18088.57,365890000
"Dec 04, 2018",18329.64,18563.85,18574.32,18329.64,385920000
"Dec 03, 2018",18563.85,18480.83,18774.48,18480.83,341710000
"Nov 30, 2018",18480.83,18609.03,18629.04,18458.66,441480000
"Nov 29, 2018",18609.03,18639.73,18754.12,18607.41,351040000
"Nov 28, 2018",18639.73,18660.89,18735.64,18605.95,341800000
"Nov 27, 2018",18660.89,18719.12,18752.99,18609.61,351870000
"Nov 26, 2018",18719.12,18533.01,18759.84,18531.59,264510000
"Nov 23, 2018",18533.01,18530,18577.76,18454.67,237510000
"Nov 22, 2018",18530,18584.94,18588.38,18409.33,253250000
"Nov 21, 2018",18584.94,18366.36,18584.94,18317.27,343870000
"Nov 20, 2018",18366.36,18540.09,18602.76,18300.09,389420000
"Nov 19, 2018",18540.09,18589.09,18748.63,18524.87,314160000
"Nov 16, 2018",18589.09,18662.21,18822.73,18559.73,324140000
"Nov 15, 2018",18662.21,18910.14,19047.23,18497.11,365000000
"Nov 14, 2018",18910.14,18985.73,19085.66,18859.65,333230000
"Nov 13, 2018",18985.73,18811.58,18998.28,18810.24,298030000
"Nov 12, 2018",18811.58,19106.61,19254.11,18811.58,281430000
"Nov 09, 2018",19106.61,19257.08,19257.08,19088.32,264520000
"Nov 08, 2018",19257.08,19147.22,19321.09,19147.22,271370000
"Nov 07, 2018",19147.22,19043.65,19217.86,19043.23,292630000
"Nov 06, 2018",19043.65,19063.71,19136.44,19025.9,258230000
"Nov 05, 2018",19063.71,19325.73,19325.73,19050.48,221240000
"Nov 02, 2018",19325.73,19171.93,19495.12,19171.93,336020000
"Nov 01, 2018",19171.93,18917.68,19234.06,18860.36,420050000
"Oct 31, 2018",18917.68,18667.73,18991.42,18667.73,375910000
"Oct 30, 2018",18667.73,18566.82,18715.66,18514.58,260640000
"Oct 29, 2018",18566.82,18352.9,18796.25,18352.9,284370000
"Oct 26, 2018",18352.9,18531.53,18531.74,18262.59,292900000
"Oct 25, 2018",18531.53,18406.48,18541.52,18206.14,378320000
"Oct 24, 2018",18406.48,18352.12,18618.8,18350.48,328090000
"Oct 23, 2018",18352.12,18758.22,18758.22,18316.49,432310000
"Oct 22, 2018",18758.22,18795.75,18930.16,18751.61,260880000
"Oct 19, 2018",18795.75,18961.35,18963.94,18777.97,312970000
"Oct 18, 2018",18961.35,19013.97,19082.73,18961.35,284500000
"Oct 17, 2018",19013.97,19149.87,19208.76,18949.97,362800000
"Oct 16, 2018",19149.87,18803.45,19149.87,18803.45,367330000
"Oct 15, 2018",18803.45,18973.45,18973.6,18758.85,341620000
"Oct 12, 2018",18973.45,18827.75,19110.56,18827.75,406090000
"Oct 11, 2018",18827.75,19239.16,19239.16,18827.75,505100000
"Oct 10, 2018",19239.16,19549.6,19564.53,19239.16,393570000
"Oct 09, 2018",19549.6,19646.08,19714.76,19473.87,347560000
"Oct 08, 2018",19646.08,19918.03,19918.65,19646.08,284070000
"Oct 05, 2018",19918.03,20088.7,20113.6,19902.79,335050000
"Oct 04, 2018",20088.7,20300,20301.54,20084.36,354310000
"Oct 03, 2018",20300,20264.86,20351.31,20264.86,292300000
"Oct 02, 2018",20264.86,20401.21,20401.25,20257.39,298930000
"Oct 01, 2018",20401.21,20307.04,20475.16,20307.04,349300000
"Sep 28, 2018",20307.04,20374.21,20390.63,20281.28,351210000
"Sep 27, 2018",20374.21,20436.48,20457.84,20335.68,292890000
"Sep 26, 2018",20436.48,20461.06,20474.2,20413.99,281580000
"Sep 25, 2018",20461.06,20488.07,20559.62,20454.07,298070000
"Sep 24, 2018",20488.07,20590.36,20606.15,20486.83,297970000
"Sep 21, 2018",20590.36,20551.26,20648.56,20551.25,729390000
"Sep 20, 2018",20551.26,20500.45,20551.26,20493.67,351190000
"Sep 19, 2018",20500.45,20458.27,20533.95,20455.77,378250000
"Sep 18, 2018",20458.27,20374.39,20483.45,20371.13,357680000
"Sep 17, 2018",20374.39,20375.87,20392.63,20309.91,267640000
"Sep 14, 2018",20375.87,20243.61,20382.57,20243.61,280240000
"Sep 13, 2018",20243.61,20380.53,20382.06,20218.03,282450000
"Sep 12, 2018",20380.53,20226.42,20390.21,20224.65,337210000
"Sep 11, 2018",20226.42,20259.83,20276.35,20142.72,319630000
"Sep 10, 2018",20259.83,20209.61,20259.83,20180.7,387280000
"Sep 07, 2018",20209.61,20283.49,20297.54,20050.89,354670000
"Sep 06, 2018",20283.49,20388.47,20390.64,20245.4,461410000
"Sep 05, 2018",20388.47,20548.61,20554.07,20335.18,395590000
"Sep 04, 2018",20548.61,20695.85,20784.27,20522.5,309140000
"Sep 03, 2018",20695.85,20689,20734.73,20657.19,214090000
"Aug 31, 2018",20689,20691.75,20770.04,20646.87,320830000
"Aug 30, 2018",20691.75,20736.88,20740,20605.33,253190000
"Aug 29, 2018",20736.88,20849.24,20883.89,20712.25,291470000
"Aug 28, 2018",20849.24,20691.41,20894.9,20691.41,258170000
"Aug 24, 2018",20691.41,20665.47,20702.57,20645.76,215280000
"Aug 23, 2018",20665.47,20642.5,20715.71,20624.55,225060000
"Aug 22, 2018",20642.5,20642.86,20699.46,20602.92,234620000
"Aug 21, 2018",20642.86,20531.15,20661.21,20509.7,261380000
"Aug 20, 2018",20531.15,20444.36,20636.78,20444.36,241390000
"Aug 17, 2018",20444.36,20462.26,20473.21,20368.3,300140000
"Aug 16, 2018",20462.26,20320.35,20496.06,20320.35,353900000
"Aug 15, 2018",20320.35,20509.76,20579.82,20283.33,320900000
"Aug 14, 2018",20509.76,20575.11,20682.2,20509.76,298750000
"Aug 13, 2018",20575.11,20667.45,20667.45,20532.73,254510000
"Aug 10, 2018",20667.45,20806.21,20806.33,20635.39,264340000
"Aug 09, 2018",20806.21,20770.64,20827.74,20729.43,345000000
"Aug 08, 2018",20770.64,20675.64,20774.27,20652.32,343430000
"Aug 07, 2018",20675.64,20639.38,20727.6,20632.55,358180000
"Aug 06, 2018",20639.38,20635.33,20699.12,20620.36,342540000
"Aug 03, 2018",20635.33,20548.97,20698.8,20548.95,289840000
"Aug 02, 2018",20548.97,20801.47,20804.12,20548.97,349780000
"Aug 01, 2018",20801.47,20877.87,20877.87,20718.9,354280000
"Jul 31, 2018",20877.87,20878.25,20941.06,20832.08,446010000
"Jul 30, 2018",20878.25,20868.94,20923.54,20798.02,289920000
"Jul 27, 2018",20868.94,20768.61,20868.94,20752.02,289600000
"Jul 26, 2018",20768.61,20753.6,20796.14,20704.53,311060000
"Jul 25, 2018",20753.6,20852.87,20878.75,20715.01,261600000
"Jul 24, 2018",20852.87,20770.38,20929.2,20765.35,295920000
"Jul 23, 2018",20770.38,20925.68,20925.68,20759.81,241960000
"Jul 20, 2018",20925.68,20907.16,20944.7,20790.81,364860000
"Jul 19, 2018",20907.16,20984.2,20985.12,20864.63,325880000
"Jul 18, 2018",20984.2,20871.27,21028.84,20871.21,309480000
"Jul 17, 2018",20871.27,20800.55,20903.67,20782.57,351820000
"Jul 16, 2018",20800.55,20813.12,20935.07,20800.55,389050000
"Jul 13, 2018",20813.12,20779.77,20943.3,20779.77,265280000
"Jul 12, 2018",20779.77,20642.27,20798.5,20614.57,317920000
"Jul 11, 2018",20642.27,20851.56,20851.76,20576.03,321240000
"Jul 10, 2018",20851.56,20821.16,20883.36,20804.04,306370000
"Jul 09, 2018",20821.16,20618.34,20842.65,20618.34,324980000
"Jul 06, 2018",20618.34,20621.09,20681.54,20567.17,296530000
"Jul 05, 2018",20621.09,20652.51,20705.86,20566.75,281070000
"Jul 04, 2018",20652.51,20665.22,20665.22,20584,219920000
"Jul 03, 2018",20665.22,20605.86,20710.82,20605.75,328860000
"Jul 02, 2018",20605.86,20830.97,20830.97,20554.69,356110000
"Jun 29, 2018",20830.97,20684.16,20860.55,20684.16,342100000
"Jun 28, 2018",20684.16,20844.14,20844.14,20591.31,319200000
"Jun 27, 2018",20844.14,20757.21,20862.29,20624.36,346390000
"Jun 26, 2018",20757.21,20774.42,20875.75,20730.87,298770000
"Jun 25, 2018",20774.42,21009.89,21009.89,20767.84,305640000
"Jun 22, 2018",21009.89,20729.05,21009.89,20723.52,418940000
"Jun 21, 2018",20729.05,20926.38,20994.38,20717.17,291440000
"Jun 20, 2018",20926.38,20835.78,21027.91,20835.78,343540000
"Jun 19, 2018",20835.78,20999.6,20999.6,20761.2,375110000
"Jun 18, 2018",20999.6,21005.52,21024.37,20925.44,318640000
"Jun 15, 2018",21005.52,21324.02,21324.42,21005.52,702850000
"Jun 14, 2018",21324.02,21232.87,21353.22,21072.12,416970000
"Jun 13, 2018",21232.87,21241.64,21307.65,21212.95,335950000
"Jun 12, 2018",21241.64,21318.77,21371.54,21223.96,338260000
"Jun 11, 2018",21318.77,21160.54,21338.89,21154.99,328700000
"Jun 08, 2018",21160.54,21154.71,21192.35,21027.24,306800000
"Jun 07, 2018",21154.71,21171.4,21278.51,21147.55,360880000
"Jun 06, 2018",21171.4,21051.86,21171.88,21051.86,361330000
"Jun 05, 2018",21051.86,21110.6,21134.15,21051.86,319910000
"Jun 04, 2018",21110.6,20984.92,21111.46,20984.92,322290000
"Jun 01, 2018",20984.92,20846.26,21039.03,20845.37,320070000
"May 31, 2018",20846.26,20822.67,20947.35,20803.89,701960000
"May 30, 2018",20822.67,20746.76,20825.4,20706.12,352950000
"May 29, 2018",20746.76,21110.53,21110.53,20746.49,404110000
"May 25, 2018",21110.53,20989.49,21134.12,20989.15,334590000
"May 24, 2018",20989.49,21004.9,21089.26,20989.49,366340000
"May 23, 2018",21004.9,21191.44,21191.7,20995.18,340320000
"May 22, 2018",21191.44,21137.66,21243.26,21136.54,386310000
"May 21, 2018",21137.66,20989.77,21151.32,20989.77,274630000
"May 18, 2018",20989.77,21019.44,21057.73,20922.09,512810000
"May 17, 2018",21019.44,20828.79,21042.29,20777.7,396970000
"May 16, 2018",20828.79,20784.92,20859.84,20771.73,392040000
"May 15, 2018",20784.92,20800.95,20862.11,20767.24,405620000
"May 14, 2018",20800.95,20785.56,20834.19,20734.12,336900000
"May 11, 2018",20785.56,20699.41,20817.18,20698.71,351620000
"May 10, 2018",20699.41,20681.95,20748.62,20653.42,304550000
"May 09, 2018",20681.95,20594.72,20681.95,20555.79,364840000
"May 08, 2018",20594.72,20421.88,20606.71,20421.88,345390000
"May 04, 2018",20421.88,20365.87,20488.33,20365.87,406640000
"May 03, 2018",20365.87,20506.27,20515.08,20345.83,452240000
"May 02, 2018",20506.27,20348.32,20536.78,20348.32,392110000
"May 01, 2018",20348.32,20285.05,20414.75,20279.14,261500000
"Apr 30, 2018",20285.05,20271.63,20370.2,20270.12,336960000
"Apr 27, 2018",20271.63,20137.62,20319.83,20137.16,274320000
"Apr 26, 2018",20137.62,20019.08,20147.09,19994.52,293750000
"Apr 25, 2018",20019.08,20195.31,20195.31,19985.52,336170000
"Apr 24, 2018",20195.31,20316.37,20326.01,20166.67,397110000
"Apr 23, 2018",20316.37,20220.77,20325.43,20220.77,531030000
"Apr 20, 2018",20220.77,20147.16,20249.22,20146.37,336160000
"Apr 19, 2018",20147.16,20012.01,20164.96,20003.67,345110000
"Apr 18, 2018",20012.01,19829.39,20026.64,19829.39,376920000
"Apr 17, 2018",19829.39,19771.52,19863.96,19771.52,403640000
"Apr 16, 2018",19771.52,19838.54,19875.38,19770.41,293120000
"Apr 13, 2018",19838.54,19772.93,19891.86,19726.5,359120000
"Apr 12, 2018",19772.93,19654.96,19780.37,19616.11,434080000
"Apr 11, 2018",19654.96,19675.48,19708.3,19575.35,343680000
"Apr 10, 2018",19675.48,19484.35,19675.48,19484.35,318550000
"Apr 09, 2018",19484.35,19530.17,19641.31,19435.77,278660000
"Apr 06, 2018",19530.17,19576.17,19585.18,19486.01,322090000
"Apr 05, 2018",19576.17,19264.22,19576.17,19264.22,359090000
